sku,name,description,category,subcategory,brand,supplier,unitCost,retailPrice,weight,dimensions,barcode
WIDGET-001,Premium Widget,High-quality electronic widget with advanced features,Electronics,Widgets,TechBrand,Supplier A,50.00,99.99,0.5,5x3x2,123456789012
KIT-002,Deluxe Kit,Complete accessory kit for professionals,Accessories,Kits,ProGear,Supplier B,70.00,149.99,2.0,10x8x4,234567890123
ITEM-003,Standard Item,Reliable hardware component for everyday use,Hardware,Components,BuildCo,Supplier C,30.00,49.99,1.0,6x4x3,345678901234
SPECIAL-004,Seasonal Special,Limited edition seasonal product,Seasonal,Limited,SeasonBrand,Supplier D,15.00,29.99,0.3,4x3x2,456789012345
PREMIUM-005,Premium Package,Exclusive premium bundle with extras,Premium,Bundles,LuxuryBrand,Supplier A,120.00,249.99,3.5,12x10x6,567890123456
BASIC-006,Basic Starter,Entry-level product for beginners,Basics,Starters,ValueBrand,Supplier B,10.00,19.99,0.2,3x2x1,678901234567
TOOL-007,Pro Tool,Professional-grade tool for experts,Tools,Professional,ToolMaster,Supplier C,80.00,159.99,2.5,8x6x4,789012345678
SUPPLY-008,Office Supply,Essential office supply item,Office,Supplies,OfficePro,Supplier D,5.00,9.99,0.1,2x2x1,890123456789
GADGET-009,Smart Gadget,IoT-enabled smart device,Electronics,Smart Devices,SmartTech,Supplier A,100.00,199.99,0.8,7x5x3,901234567890
BUNDLE-010,Value Bundle,Cost-effective product bundle,Bundles,Value,SaveMore,Supplier B,40.00,79.99,1.5,9x7x5,012345678901