product_id,sku,title,vendor,product_type,price,compare_at_price,inventory_quantity,barcode,weight,weight_unit,status,description
2001,TEE-BLU-M,Blue Cotton T-Shirt,Fashion Co,Apparel,25.00,35.00,150,123456789012,0.3,lb,active,"Comfortable 100% cotton t-shirt in classic blue. Perfect for everyday wear."
2002,SHOE-RUN-42,Professional Running Shoes,SportTech,Footwear,92.99,120.00,75,123456789013,1.2,lb,active,"High-performance running shoes with advanced cushioning and breathable mesh upper."
2003,MAT-YOGA-PRP,Premium Yoga Mat,Wellness World,Fitness,45.00,60.00,200,123456789014,2.5,lb,active,"Extra thick 6mm yoga mat with non-slip surface. Includes carrying strap."
2004,BTL-WATER-32,Stainless Steel Water Bottle 32oz,HydroLife,Accessories,37.00,45.00,300,123456789015,0.8,lb,active,"Double-wall vacuum insulated water bottle. Keeps drinks cold for 24 hours."
2005,STD-LAPTOP-ADJ,Adjustable Laptop Stand,TechGear Pro,Electronics,89.00,110.00,50,123456789016,3.2,lb,active,"Ergonomic aluminum laptop stand with 6 adjustable heights. Compatible with all laptops."
2006,MOUSE-WL-BLK,Wireless Optical Mouse,CompTech,Electronics,56.00,70.00,125,123456789017,0.3,lb,active,"2.4GHz wireless mouse with precision optical sensor. Battery life up to 12 months."
2007,CBL-USBC-6FT,USB-C Charging Cable 6ft,CableMaster,Electronics,70.00,85.00,180,123456789018,0.2,lb,active,"Fast charging USB-C cable with reinforced connectors. Supports up to 100W power delivery."
2008,CASE-PHN-CLR,Clear Phone Case Universal,MobileGuard,Accessories,25.00,35.00,250,123456789019,0.1,lb,active,"Crystal clear protective phone case with shock-absorbing corners."
2009,PROT-SCRN-2PK,Screen Protector 2-Pack,ScreenShield,Accessories,18.50,25.00,400,123456789020,0.05,lb,active,"Tempered glass screen protectors with 9H hardness rating. Easy installation kit included."
2010,WATCH-SMT-BLK,Smart Fitness Watch,TechFit,Electronics,299.00,399.00,40,123456789021,0.4,lb,active,"Advanced fitness tracker with heart rate monitor, GPS, and 5-day battery life."
2011,DOCK-CHG-WL,Wireless Charging Dock,PowerHub,Electronics,45.00,60.00,90,123456789022,0.5,lb,active,"15W fast wireless charging dock compatible with all Qi-enabled devices."
2012,BAND-WATCH-LTH,Leather Watch Band,StyleTech,Accessories,66.00,80.00,150,123456789023,0.1,lb,active,"Genuine leather watch band with quick-release pins. Available in multiple colors."
2013,BOOK-SET-FIC,Fiction Book Collection (3 Books),ReadMore,Media,24.00,30.00,100,123456789024,2.0,lb,active,"Bestselling fiction trilogy. Perfect for book clubs and avid readers."
2014,HDST-GAME-7.1,Gaming Headset 7.1 Surround,GamePro,Electronics,129.00,169.00,60,123456789025,0.9,lb,active,"Professional gaming headset with 7.1 virtual surround sound and RGB lighting."
2015,MOUSE-GAME-RGB,RGB Gaming Mouse,GamePro,Electronics,89.00,110.00,85,123456789026,0.4,lb,active,"16000 DPI gaming mouse with customizable RGB lighting and 8 programmable buttons."